id,user_id,project_id,title,task_type,status,priority,description,prompt,tags,notes,archived,created_at,updated_at,assignees,due_date,is_blocker,github_url,milestone_id,sprint_id,position,bug_fields
2ee67df5-13ec-4f25-838b-9e892ad2546b,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,System Design Re-coloring,Idea,Todo,Medium,,"Hey Claude,
Apply SAP Fiori color palette to my entire Vue app — everything: layouts, components, pages, modals, forms, tables, buttons, inputs, dropdowns, badges, alerts.
Color Palette
Light Mode
Table
Element	Hex
Page background	#f7f7f7
Sidebar/Header	#edeff0
Cards/Modals	#ffffff
Borders	#d9d9d9
Text	#32363a
Secondary text	#6a6d70
Hover	#d9d9d9
Dark Mode
Table
Element	Hex
Page background	#1c2228
Sidebar/Cards	#232a31
Elevated (modals, hover)	#29313a
Borders	#3a4552
Text	#fafafa
Secondary text	#d3d7d9
Replacement Map
Table
Replace this	With this
bg-white	bg-[#ffffff] dark:bg-[#232a31]
bg-gray-50, bg-gray-100	bg-[#f7f7f7] dark:bg-[#1c2228]
bg-gray-200	bg-[#edeff0] dark:bg-[#232a31]
dark:bg-gray-800	dark:bg-[#232a31]
dark:bg-gray-900	dark:bg-[#1c2228]
border-gray-200, border-gray-300	border-[#d9d9d9] dark:border-[#3a4552]
text-gray-900	text-[#32363a] dark:text-[#fafafa]
text-gray-500, text-gray-600, text-gray-700	text-[#6a6d70] dark:text-[#d3d7d9]
Corner Radius Rules
Add overflow-hidden to ALL cards, modals, and containers that have rounded corners. This ensures borders clip properly and corners look clean.
Table
Element	Radius	Notes
Main cards/containers	rounded-xl (12px)	+ overflow-hidden
Modals/dialogs	rounded-xl (12px)	+ overflow-hidden
Buttons	rounded-lg (8px)	Standard
Inputs	rounded-md (6px)	Standard
Small badges/tags	rounded-full or rounded-md	Context dependent
Pattern for every card/modal:
vue
Copy
<div class=""overflow-hidden rounded-xl bg-[#ffffff] dark:bg-[#232a31] border border-[#d9d9d9] dark:border-[#3a4552]"">
  <!-- content -->
</div>
Scope
plain
Copy
resources/js/Layouts/
resources/js/Components/
resources/js/Pages/
Rules
Change: All background, border, text colors, and corner radius with proper overflow-hidden. Every UI element.
Do NOT change: Logic, layout structure, spacing, amber accent #FDB022, green/red status colors, chart colors.
Process
Start with resources/js/Layouts/ — do layout files first
Then components, then pages
Go file by file — do not batch
Use Read → Edit → confirm pattern
Report: list every file changed",[],[],false,2026-04-05 17:03:01.445+00,2026-04-07 20:58:41.649+00,[],,false,,,,0,{}
2ef39068-52e2-481f-8394-9a7a9fb70070,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,FIX DOCKER SETUP,Fix,Backlog,Medium,We need to fix docker for setting up everything right running all seeders etc,,[],[],false,2026-04-07 21:46:59.774+00,2026-04-08 14:03:03.318+00,[],,false,,,,0,{}
30d956c2-5745-4be7-8b1a-600878465103,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,POS Full Responsivity,Feature,Todo,Medium,"I need serious help with the full responsivity of the POS page and all connected modals. Requirements:
- The top navbar/topbar of the POS must always stay visible on screen on all screen sizes
- BUT when a modal opens (like settings modal or transaction modal) hide the POS navbar completely so only the modal shows
- On small screens the pricing mode text in the topbar must be properly centered, clearly visible, good design not broken
- Make sure everything on the POS is reachable on different screen sizes
- Fix the manual pricing button/text make it smaller
- Go through the full POS layout and make it properly responsive",,[],[],false,2026-04-05 17:14:19.47+00,2026-04-08 14:04:14.161+00,[],,false,,,,0,{}
375dac4f-7159-49ac-a0a9-54726a381c16,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,Onboarding PDF,Fix,Todo,Medium,"When a tenant is created, automatically generate a secure random 8-character password for the admin user. In the tenant table in the admin dashboard, add an Onboarding Document icon/button in the Actions column. When clicked it should generate a professional printable A4 PDF with: SaaS logo and branding at top, tenant company name, login URL, admin email, temporary auto-generated password, note to change password after first login, quick start steps (login → change password → add services → start using system), support contact info (email, phone, WhatsApp), plan type, tenant creation date. Design must be clean modern professional, proper spacing and sections, optimized for A4 printing, looks good digitally and printed. Install whatever PDF package is needed like barryvdh/laravel-dompdf",,[],[],false,2026-04-05 17:12:00.547+00,2026-04-07 20:58:37.941+00,[],,false,,,,0,{}
3aa85a00-bbbc-45ed-87bc-fa07c36b1f9b,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,"Audit language implementation across tenant pages
",Idea,Backlog,Medium,,"I have already implemented language/translation in this project. Go through every single file inside resources/js/Pages/Tenant and check if all user-facing text is using the translation function. Check all pages and their connected modals, dropdowns, buttons, placeholders, alerts, validation messages, tooltips — everything. Report which files are missing translations and which strings are still hardcoded in English, then fix them all",[],[],false,2026-04-05 17:36:37.017+00,2026-04-08 14:04:31.016+00,[],,false,,,,0,{}
3aab32b1-b073-4f80-b4b5-4f99adfb40d6,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,Client card — full redesign + responsivity,Feature,In Progress,Medium,,"Go to resources/js/Pages/Tenant/ClientCards/ClientTransactionIndex.vue — I want a full redesign of this page. Keep every single existing feature and function exactly as it is, do not remove anything. I just want a much better modern clean design with full responsivity across all screen sizes. Make it look great, professional, well spaced, easy to read and use on both desktop and mobile. Pay attention to the transactions section, modals, and all interactive elements — everything must work perfectly and look great",[],[],false,2026-04-05 17:22:16.806+00,2026-04-10 17:31:33.976+00,[],,false,,,,0,{}
40091360-fd3b-4220-a5d4-1a803e97b091,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,POS client search — fix loader/performance,Bug,Todo,Medium,,"On the POS page when I open the client selection and search for a client or vehicle, there is a loader showing. Check if this loader is just a fake animation or if it is actually waiting for a real request. If it is just an animation with no real loading happening remove it. If it is a real request find out why it is slow and optimize it to make the search faster and more responsive",[],[],false,2026-04-05 17:27:28.412+00,2026-04-05 17:27:34.575+00,[],,false,,,,0,{}
4384b2aa-39e7-42ed-8c5a-3d0f3f3e18b6,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,Download Fix,Bug,Todo,Medium,"The PDF download is being blocked by the browser as insecure. Instead of direct download, open the PDF in a new tab so the browser doesn't block it. Keep the temporary password still visible on the page, no problem from security. Keep it simple, no complex stuff",,[],[],false,2026-04-05 17:12:48.46+00,2026-04-08 14:04:07.977+00,[],,false,,,,0,{}
458d504a-cf62-4b7c-9d70-b5f56b3de7d4,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,Add user roles & permissions,Feature,Review,Medium,,"I want to implement a full multi-tenant user roles and permissions system. Before writing any code do the following:

1. ANALYSE FIRST — Read the full database schema, all migrations, all existing models, controllers and routes. Check if there is any existing user/roles/permissions logic already started or partially implemented. Report what you find before doing anything.

2. PLAN — Based on what you find, plan the full implementation:
- Users table changes needed (if any)
- Roles table (admin, mechanic, cashier, receptionist etc)
- Permissions table (per page, per action — view only, edit, input, full access)
- Many to many relationships
- Middleware for route protection
- How roles integrate with the multi-tenant system (each tenant has their own users and roles, completely isolated)

3. CLIENT LOGIN QUESTION — Right now all clients exist in the system but none can login. We want to add a future feature where some clients can login. Should we add a login_access boolean column to the clients table now so we are prepared? Recommend the best approach and wait for my approval before doing anything about this.

4. APPROVAL — Present the full plan clearly, list every change you will make to the database and codebase, wait for me to approve before writing a single line of code.

5. IMPLEMENT AFTER APPROVAL —
- Backend: migrations, models, relationships, middleware, policies, all with maximum security
- Frontend: Users management page accessible only to tenant admin, where you can create users, assign roles, set permissions per page (view only / edit / full access / no access)
- Make sure regular users cannot access the users management page
- All permission checks must happen on both frontend and backend, never trust frontend alone
- Everything must work correctly in the multi-tenant architecture, users and roles must be scoped to their tenant only, no cross-tenant data leaks ever",[],[],false,2026-04-05 17:30:46.816+00,2026-04-09 21:42:24.441+00,[],,false,,,,0,{}
463c48d5-dfc3-4885-ab38-0369ae4cf729,b13dbd16-2f7a-4c17-979f-e7d7e49ec389,c9339f7a-603f-4c1a-850c-838529f7202f,billing page,Feature,Todo,High,"billing page for the tenant admin, he can see how many invoices did he pay what version of the app what type of subsrciton does he owe anything to us, and also modal and notificaiton system for payment when they are due etc",,[],[],false,2026-04-08 22:09:29.991+00,2026-04-08 22:09:31.339+00,[],,false,,,,0,{}
